State,Year,Quater,Total_Amount
gujarat,2022,1,4710576979392.0
gujarat,2022,2,5361575869440.0
gujarat,2022,3,5969250115200.0
gujarat,2022,4,6815019552384.0
gujarat,2023,1,7173914412480.0
gujarat,2023,2,7744886488128.0
gujarat,2023,3,8492844414912.0
gujarat,2023,4,9541046336640.0
gujarat,2024,1,10459433314176.0
gujarat,2024,2,10927500405888.0
gujarat,2024,3,11562616527744.0
gujarat,2024,4,12912174448512.0
haryana,2018,1,81522138768.0
haryana,2018,2,135844977168.0
haryana,2018,3,196501667304.0
haryana,2018,4,304690521216.0
haryana,2019,1,408619874592.0
haryana,2019,2,510018493788.0
haryana,2019,3,629869407708.0
haryana,2019,4,832316644620.0
haryana,2020,1,983714567160.0
haryana,2020,2,968535164928.0
haryana,2020,3,1314815408544.0
haryana,2020,4,1919982047616.0
haryana,2021,1,2027259604320.0
haryana,2021,2,2404288344288.0
haryana,2021,3,2889925094304.0
haryana,2021,4,3710887150464.0
haryana,2022,1,4095648507840.0
haryana,2022,2,4742808554304.0
haryana,2022,3,5136653833728.0
haryana,2022,4,5885888031744.0
haryana,2023,1,7093807615296.0
haryana,2023,2,7940905502592.0
haryana,2023,3,8129903675712.0
haryana,2023,4,9387245388096.0
haryana,2024,1,9681458414208.0
haryana,2024,2,10865335114368.0
haryana,2024,3,11078480406528.0
haryana,2024,4,12383512447872.0
himachal-pradesh,2018,1,7544853549.0
himachal-pradesh,2018,2,14198031711.0
himachal-pradesh,2018,3,21048497388.0
himachal-pradesh,2018,4,31455588225.0
himachal-pradesh,2019,1,40577777472.0
himachal-pradesh,2019,2,58510604682.0
himachal-pradesh,2019,3,66864227976.0
himachal-pradesh,2019,4,87253961424.0
himachal-pradesh,2020,1,89033601153.0
himachal-pradesh,2020,2,96442858590.0
himachal-pradesh,2020,3,126192646176.0
himachal-pradesh,2020,4,167868641784.0
himachal-pradesh,2021,1,169446565056.0
himachal-pradesh,2021,2,197947614060.0
himachal-pradesh,2021,3,255723145128.0
himachal-pradesh,2021,4,313634644176.0
himachal-pradesh,2022,1,318221371944.0
himachal-pradesh,2022,2,404509299120.0
himachal-pradesh,2022,3,448569402912.0
himachal-pradesh,2022,4,501352109328.0
himachal-pradesh,2023,1,452891370480.0
himachal-pradesh,2023,2,562500767232.0
himachal-pradesh,2023,3,502254875376.0
himachal-pradesh,2023,4,579362961888.0
himachal-pradesh,2024,1,574610786304.0
himachal-pradesh,2024,2,718196909376.0
himachal-pradesh,2024,3,679391305632.0
himachal-pradesh,2024,4,764843965344.0
jammu-&-kashmir,2018,1,12064454676.0
jammu-&-kashmir,2018,2,31814476044.0
jammu-&-kashmir,2018,3,47216412390.0
jammu-&-kashmir,2018,4,67976640300.0
jammu-&-kashmir,2019,1,71422028364.0
jammu-&-kashmir,2019,2,73201707519.0
jammu-&-kashmir,2019,3,44930766706.5
jammu-&-kashmir,2019,4,23156351772.375
jammu-&-kashmir,2020,1,35251718238.0
jammu-&-kashmir,2020,2,99187787628.0
jammu-&-kashmir,2020,3,143726756724.0
jammu-&-kashmir,2020,4,184570869360.0
jammu-&-kashmir,2021,1,205660201848.0
jammu-&-kashmir,2021,2,273765067728.0
jammu-&-kashmir,2021,3,379181328528.0
jammu-&-kashmir,2021,4,467114860080.0
jammu-&-kashmir,2022,1,397774356576.0
jammu-&-kashmir,2022,2,555051512664.0
jammu-&-kashmir,2022,3,491562650040.0
jammu-&-kashmir,2022,4,531783538128.0
jammu-&-kashmir,2023,1,671060955432.0
jammu-&-kashmir,2023,2,918360049056.0
jammu-&-kashmir,2023,3,1032193784352.0
jammu-&-kashmir,2023,4,1116841687680.0
jammu-&-kashmir,2024,1,1127531139648.0
jammu-&-kashmir,2024,2,1548741114816.0
jammu-&-kashmir,2024,3,1733644137312.0
jammu-&-kashmir,2024,4,1931411828064.0
jharkhand,2018,1,28490236176.0
jharkhand,2018,2,56658906288.0
jharkhand,2018,3,103938855024.0
jharkhand,2018,4,122903003040.0
jharkhand,2019,1,163526843088.0
jharkhand,2019,2,223472409744.0
jharkhand,2019,3,257591690496.0
jharkhand,2019,4,337772993088.0
jharkhand,2020,1,403334784288.0
jharkhand,2020,2,449834422608.0
jharkhand,2020,3,607471400736.0
jharkhand,2020,4,873662096592.0
jharkhand,2021,1,1004992208256.0
jharkhand,2021,2,1253191682928.0
jharkhand,2021,3,1462692139200.0
jharkhand,2021,4,1992205382400.0
jharkhand,2022,1,2336402480352.0
jharkhand,2022,2,2707634803296.0
jharkhand,2022,3,2752954546272.0
jharkhand,2022,4,3335660810688.0
jharkhand,2023,1,4408456110240.0
jharkhand,2023,2,5066576922240.0
jharkhand,2023,3,5020613225184.0
jharkhand,2023,4,5984641262496.0
jharkhand,2024,1,6716642795520.0
jharkhand,2024,2,7441390891680.0
jharkhand,2024,3,7318914629184.0
jharkhand,2024,4,8448125860032.0
karnataka,2018,1,230614748592.0
karnataka,2018,2,402186955776.0
karnataka,2018,3,578701114080.0
karnataka,2018,4,876100649280.0
karnataka,2019,1,1415716574160.0
karnataka,2019,2,1964424232800.0
karnataka,2019,3,2574440612400.0
karnataka,2019,4,3540565801728.0
karnataka,2020,1,4240824849504.0
karnataka,2020,2,3853258511232.0
karnataka,2020,3,5648886385920.0
karnataka,2020,4,7896440307072.0
karnataka,2021,1,9059944379136.0
karnataka,2021,2,10054645693824.0
karnataka,2021,3,13598816992896.0
karnataka,2021,4,16505655708672.0
karnataka,2022,1,18799793617920.0
karnataka,2022,2,22405753873920.0
karnataka,2022,3,19991018318592.0
karnataka,2022,4,22854199588608.0
karnataka,2023,1,29642727205632.0
karnataka,2023,2,33331188792576.0
karnataka,2023,3,35830572203520.0
karnataka,2023,4,38896518204672.0
karnataka,2024,1,41822982759936.0
karnataka,2024,2,45420417690624.0
karnataka,2024,3,46886431059456.0
karnataka,2024,4,49821838355712.0
